Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-F6-A8O4	TCGA-QH-A65S	TCGA-HT-7693	TCGA-FN-7833	TCGA-HT-A5R7	TCGA-FG-8182	TCGA-HT-7474	TCGA-HT-8106	TCGA-WY-A85B	TCGA-FG-6690	TCGA-HW-7490	TCGA-DU-6401	TCGA-DU-7011	TCGA-S9-A6U1	TCGA-HT-7611	TCGA-HT-A5RB	TCGA-E1-A7YH	TCGA-FG-A60J	TCGA-HW-A5KL	TCGA-DB-A75M	TCGA-HT-8114	TCGA-HT-8018	TCGA-P5-A5EW	TCGA-E1-A7Z6	TCGA-E1-A7Z4	TCGA-HT-7884	TCGA-HT-A618	TCGA-HT-7684	TCGA-E1-A7YK	TCGA-DH-5143	TCGA-TQ-A7RJ	TCGA-HW-7489	TCGA-S9-A7R7	TCGA-CS-6667	TCGA-DU-A76O	TCGA-HT-7470	TCGA-HT-7478	TCGA-S9-A7R4	TCGA-S9-A6TU	TCGA-DB-5276	TCGA-P5-A736	TCGA-HW-8319	TCGA-DU-8163	TCGA-HT-7879	TCGA-P5-A733	TCGA-DH-A66D	TCGA-DB-A64S	TCGA-FG-A60L	TCGA-HT-7688	TCGA-TM-A84L	TCGA-FG-6689	TCGA-TM-A84F	TCGA-HT-7902	TCGA-FG-8191	TCGA-WY-A85A	TCGA-HW-A5KM	TCGA-P5-A72X	TCGA-DB-A4XC	TCGA-HT-7880	TCGA-S9-A6U9	TCGA-DU-5853	TCGA-TM-A7CA	TCGA-E1-A7Z3	TCGA-RY-A843	TCGA-DB-5280	
Amplification Peak 11	7q21.2  	chr7:91893443-93659564(probes 132406:132586)      	chr7:91903415-93650169(probes 132407:132585)      	chr7:91903415-93678353(probes 132407:132588)      	0.11733	 0.11733		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	2	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	
Amplification Peak 12	7q21.3  	chr7:96665434-102461281(probes 132901:133505)    	chr7:96866787-96874661(probes 132924:132925)      	chr7:96675353-102481268(probes 132902:133507)    	0.11733	 0.16504		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	
Amplification Peak 13	7q31.2  	chr7:116675433-117035036(probes 134966:135003)  	chr7:116685273-117025796(probes 134967:135002)  	chr7:107720992-117409410(probes 134057:135044)  	0.11733	 0.11733		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	2	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	
Amplification Peak 14	7q36.2  	chr7:128873242-159345973(probes 136173:139239)  	chr7:154067656-154612448(probes 138750:138803)  	chr7:120310982-159345973(probes 135347:139239)  	0.11733	 0.11733		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	2	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	
Amplification Peak 15	11q23.3 	chr11:118194357-118454447(probes 189874:189901)	chr11:118203403-118444730(probes 189875:189900)	chr11:117800377-135086622(probes 189829:191570)	0.11733	 0.13663		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	2	0	0	1	1	1	0	0	
Amplification Peak 16	11q25   	chr11:133389351-133472586(probes 191471:191482)	chr11:133399253-133462645(probes 191472:191481)	chr11:117800377-135086622(probes 189829:191570)	0.11733	 0.11733		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	
Amplification Peak 17	12p13.32	chr12:1-7612001(probes 191571:192289)               	chr12:3482424-4116244(probes 191854:191919)        	chr12:1-12030220(probes 191571:192746)             	0.11733	 0.11733		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	
Amplification Peak 18	12p12.1 	chr12:21487006-21623758(probes 193742:193759)    	chr12:21496663-21613948(probes 193743:193758)    	chr12:18073767-22149129(probes 193390:193815)    	0.11733	 0.11733		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	
Amplification Peak 19	12q24.33	chr12:1-133275309(probes 191571:204574)           	chr12:130716596-130762510(probes 204374:204378)	chr12:130716596-130792447(probes 204374:204381)	0.24828	 0.24828		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	
Amplification Peak 20	13q34   	chr13:111873900-112576350(probes 214189:214259)	chr13:111883792-112566881(probes 214190:214258)	chr13:108174807-112792744(probes 213801:214285)	0.11733	 0.11733		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Deletion Peak  1	1q44    	chr1:247443813-248956422(probes 24826:24847)    	chr1:247476399-248956422(probes 24830:24847)    	chr1:247453735-248956422(probes 24827:24847)    	0.053789	   0.054398		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Deletion Peak  2	2q37.3  	chr2:231921686-242193529(probes 48294:49303)    	chr2:241342665-242193529(probes 49283:49303)    	chr2:227535512-242193529(probes 47821:49303)    	4.0041e-06	 4.0041e-06		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	
Deletion Peak  3	3q11.2  	chr3:89474679-94065704(probes 58246:58456)        	chr3:91452366-94065704(probes 58450:58456)        	chr3:91462300-94025802(probes 58451:58452)        	0.0080937	  0.0085698		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak  4	3q29    	chr3:193376968-197615820(probes 68615:69047)    	chr3:196035259-197586333(probes 68888:69044)    	chr3:193436010-198295559(probes 68621:69068)    	0.049299	   0.049299		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak  5	4q35.1  	chr4:131788483-190214555(probes 82043:87781)    	chr4:183626754-184842235(probes 87349:87470)    	chr4:183582488-186111687(probes 87343:87598)    	0.17747	    0.17845		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	
Deletion Peak  6	5q15    	chr5:60458461-102373674(probes 93855:98149)      	chr5:94500935-95806570(probes 97342:97479)        	chr5:94136945-102283987(probes 97303:98140)      	0.043818	   0.043818		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak  7	5q22.3  	chr5:114418791-115134114(probes 99372:99441)    	chr5:114553151-114653620(probes 99387:99388)    	chr5:105802136-116146424(probes 98491:99547)    	0.0005637	  0.0005637		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak  8	5q34    	chr5:154685136-176632576(probes 103507:105763)  	chr5:168215290-169052942(probes 104907:104994)  	chr5:162881785-169268705(probes 104353:105017)  	0.053789	   0.054398		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	
Deletion Peak  9	6q27    	chr6:166160783-166904199(probes 123151:123230)  	chr6:166217685-166634138(probes 123159:123201)  	chr6:166180404-166664470(probes 123153:123206)  	0.029491	   0.029491		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	
Deletion Peak 10	9p21.3  	chr9:21857344-22452886(probes 155712:155776)      	chr9:21957058-22134427(probes 155723:155739)      	chr9:21966912-21996472(probes 155724:155725)      	0.24537	    0.24736		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	
Deletion Peak 11	10q26.12	chr10:111075068-133797422(probes 176099:178342)	chr10:119946270-120603425(probes 177026:177097)	chr10:111245677-133797422(probes 176121:178342)	0.013789	   0.013789		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	
Deletion Peak 12	11p15.4 	chr11:1-8121234(probes 178343:179113)               	chr11:1-8121234(probes 178343:179113)               	chr11:1-15424242(probes 178343:179880)             	1.8853e-05	   0.013789		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	
Deletion Peak 13	11p15.4 	chr11:3653772-7481177(probes 178645:179047)        	chr11:3663673-7481177(probes 178646:179047)        	chr11:1-15424242(probes 178343:179880)             	2.0657e-05	   0.029491		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	
Deletion Peak 14	12q13.11	chr12:32888702-87335980(probes 194950:200028)    	chr12:42068902-53638192(probes 195381:196554)    	chr12:42108190-42137654(probes 195385:195386)    	0.24678	    0.24736		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	
Deletion Peak 15	12q24.31	chr12:123945071-124327661(probes 203771:203812)	chr12:123955014-124327661(probes 203772:203812)	chr12:123484172-133275309(probes 203724:204574)	0.025372	   0.025372		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	
Deletion Peak 16	13q12.2 	chr13:1-75531689(probes 204575:210373)           	chr13:27055704-28513721(probes 205423:205578)    	chr13:26825202-28358290(probes 205398:205561)    	0.21522	    0.22197		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	
Deletion Peak 17	17q25.3 	chr17:80995516-83257441(probes 248103:248311)    	chr17:82739735-83257441(probes 248285:248311)    	chr17:82757292-83257441(probes 248287:248311)    	0.22197	    0.22197		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak 18	18q23   	chr18:79006008-80373285(probes 256375:256414)    	chr18:79340677-80373285(probes 256414:256414)    	chr18:79025790-80373285(probes 256377:256414)    	0.0080937	  0.0085698		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	
Deletion Peak 19	20p11.21	chr20:22067534-23750023(probes 264140:264325)    	chr20:23018181-23697274(probes 264248:264318)    	chr20:21097897-25318533(probes 264038:264484)    	0.0069986	  0.0069986		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Deletion Peak 20	22q13.2 	chr22:33114145-50818468(probes 272809:274448)    	chr22:35368918-50818468(probes 273042:274448)    	chr22:35348566-35902833(probes 273039:273095)    	0.2311	     0.2311		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Amplification Peak  1 - CN values	1q31.2  	chr1:191240012-191542430(probes 19093:19123)    	chr1:191249630-191532526(probes 19094:19122)    	chr1:191249630-191562238(probes 19094:19125)    	0.13249	 0.13249		Actual Copy Change Given	-0.0010882	-0.24582	-0.031768	-0.033398	2.115	0.017404	0.17582	-0.15631	-0.0044312	0.0048579	-0.25104	0.017404	0.0051542	0.0040243	-0.0027016	0.0022193	-0.061958	0.047694	-3.133e-05	-0.019314	0.00013863	-0.020961	0	0.004719	-0.048613	0.016146	0.014261	-0.00069303	0.014051	0.0037465	0.0034687	0	0.015866	-0.046041	0.0032868	-0.010384	0.0023581	0.0085156	0.0093098	0	0.001803	0.0077783	0.0051054	-0.0079243	0.055636	0.004719	0.0011093	0.03863	0.57148	0.0023581	-0.0051935	-0.0033243	0.021603	0.0054139	0.025671	-0.0067188	0.0044663	0.004852	0.0030522	-0.031223	0.034254	0.00083195	-0.013815	-0.0019685	0	
Amplification Peak  2 - CN values	2p24.3  	chr2:16006919-16187239(probes 26332:26343)        	chr2:16016878-16177241(probes 26333:26342)        	chr2:16016878-16207235(probes 26333:26345)        	0.18988	 0.18988		Actual Copy Change Given	-0.0074418	-0.018947	0.023987	-0.0060583	-0.19601	0.0041632	0.003269	0	-0.0696	0.00458	0.00013863	-0.041024	-0.0038643	0.0019418	-0.0020723	-0.028765	-0.10171	0.00458	-0.018902	0.0062481	-0.0044312	-0.014366	0.0097276	0.012376	-0.1499	-0.017693	0.18943	-0.00069329	-0.22539	-0.0085766	0	0.004719	-0.027671	-0.039258	-0.0033672	-0.015343	-0.010092	0.0024053	-0.066654	0.0043021	0	0.0041791	0.0002469	0.16948	-0.26097	0.0030522	0.0037465	0.0065262	0.031295	0.00458	0	0.050677	-0.071873	0.0030798	0	1.4381	0.0034687	0.0024369	0	0	0.0029133	0.0066653	0.0041632	0.0019418	-0.016017	
Amplification Peak  3 - CN values	3q13.33 	chr3:121561485-121691352(probes 61272:61285)    	chr3:121571466-121681375(probes 61273:61284)    	chr3:121571466-121711307(probes 61273:61287)    	0.11733	 0.11733		Actual Copy Change Given	0.0062481	0.011122	0.031014	0.057653	0.021737	-0.196	-0.064433	-0.020824	0.035665	2.9588	-0.069867	0.049824	0	0.0065262	0.0038914	0.013632	-0.13044	0.0024969	-0.1281	0.0058309	-0.00027724	0.0083351	-0.17891	-0.70783	0.0095883	-0.15413	0.022448	0.004933	0.031295	0	-0.020275	-0.0077482	-0.089037	0.011466	-0.71678	0.051515	-0.0066432	0	0.015866	-0.0057122	0.0013868	0.008892	-0.0023856	-0.029924	0.020461	0	0.0029133	-0.019442	0.035325	0.0038854	0.0069435	0.00013863	0.036935	0.013074	0.011121	0.0040243	0.0070826	0.0095824	0.0044411	0.0013339	0.0043021	-0.005814	0.0048579	-0.00097017	0.017963	
Amplification Peak  4 - CN values	4q12    	chr4:48058023-52927454(probes 73826:73948)        	chr4:51871674-52917847(probes 73836:73947)        	chr4:48067891-56590400(probes 73827:74335)        	0.11733	 0.11733		Actual Copy Change Given	-0.0048461	0.0023134	-0.011749	-0.040345	3.6569	-0.0059522	0	0.032986	0.0092583	-0.005814	0.0019425	0.0063871	0.0037465	0	0.0073669	0.001803	0.047978	0.2642	0.0034687	-0.0019399	-0.0019399	0.0022193	-0.012989	-0.020344	0.0026357	0	0.0039609	0.00458	0.02806	-0.0041726	-0.0027707	0.0046595	0.0023581	0.029888	-0.073518	0.059922	-0.010922	-0.012942	0.018741	0.010146	-0.010068	0.40311	-0.012192	0.001181	-0.0099624	-0.011749	0	-0.017391	-0.27308	-0.0015243	0.0062481	0.0049969	0.023286	0.0051359	0.012627	-0.00041585	0.0020805	-0.015039	0.015184	-0.012162	-0.0055375	-0.0027707	-0.0077482	-0.0027707	-0.0029091	
