Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-HT-8563	TCGA-DU-6542	TCGA-HW-8321	TCGA-HT-7603	TCGA-HT-7686	TCGA-HT-7689	TCGA-TM-A84Q	TCGA-HT-7604	TCGA-HT-A74O	TCGA-WY-A859	TCGA-P5-A780	TCGA-TM-A84I	TCGA-QH-A6X3	TCGA-HT-7873	TCGA-DU-7304	TCGA-TM-A7C4	TCGA-DU-7010	TCGA-HT-7855	TCGA-CS-6665	TCGA-S9-A6TV	TCGA-DB-A4XE	TCGA-DU-5872	TCGA-CS-4942	TCGA-HT-A614	TCGA-DU-A7T8	TCGA-TQ-A8XE	TCGA-FG-8188	TCGA-DU-7298	TCGA-DH-A66B	TCGA-TM-A7CF	TCGA-WH-A86K	TCGA-DU-8167	TCGA-E1-5322	TCGA-TQ-A7RV	TCGA-E1-A7YI	TCGA-TQ-A7RR	TCGA-TQ-A7RH	TCGA-S9-A7J0	TCGA-HT-8108	TCGA-FG-A87N	TCGA-DU-7301	TCGA-S9-A6U6	TCGA-HT-7485	TCGA-CS-4943	TCGA-E1-5305	TCGA-IK-7675	TCGA-E1-5307	TCGA-FG-A6J3	TCGA-HT-7479	TCGA-HT-A616	TCGA-DU-A5TS	TCGA-DU-A7TA	TCGA-TM-A84H	TCGA-FG-8185	TCGA-DB-A4XB	TCGA-HT-A5R5	TCGA-E1-5304	TCGA-DU-6407	TCGA-P5-A5EZ	TCGA-DU-7007	TCGA-DH-A7UU	TCGA-HT-7676	TCGA-S9-A6WG	TCGA-S9-A6WO	TCGA-DB-5275	TCGA-P5-A5F2	TCGA-WY-A858	TCGA-HT-A61B	TCGA-FG-A70Y	TCGA-DU-7309	TCGA-DB-5277	TCGA-P5-A5EV	TCGA-FG-A4MT	TCGA-FG-6691	TCGA-HT-7690	TCGA-HT-8013	TCGA-CS-5393	TCGA-E1-A7YE	TCGA-QH-A6CW	TCGA-FG-A4MY	TCGA-P5-A72U	TCGA-P5-A72W	TCGA-DB-A4X9	TCGA-E1-A7YW	TCGA-S9-A7R8	TCGA-DU-A6S7	TCGA-VM-A8C8	TCGA-HT-7858	TCGA-DB-A75L	TCGA-DH-A7UT	TCGA-DU-7306	TCGA-HT-7473	TCGA-DU-5871	TCGA-WY-A85C	TCGA-DU-7015	TCGA-S9-A7IS	TCGA-TQ-A7RW	TCGA-TQ-A7RF	TCGA-QH-A6X9	TCGA-DB-5281	TCGA-DH-A7UV	TCGA-RY-A845	TCGA-DU-A7TC	TCGA-DU-6395	TCGA-CS-4944	TCGA-S9-A7QW	TCGA-CS-6666	TCGA-S9-A89Z	TCGA-P5-A5F4	TCGA-DU-A5TW	TCGA-DU-8166	TCGA-S9-A7R3	TCGA-HT-7606	TCGA-TM-A84T	TCGA-DU-5855	TCGA-DU-A5TR	TCGA-DB-A64X	TCGA-WY-A85D	TCGA-DB-5270	TCGA-DU-7299	TCGA-P5-A5F1	TCGA-S9-A7IZ	TCGA-DB-A75O	TCGA-VM-A8CF	TCGA-DU-6408	TCGA-RY-A83Z	TCGA-TQ-A7RK	TCGA-HT-7475	TCGA-HT-7482	TCGA-E1-5303	TCGA-HT-7610	TCGA-DU-A5TU	TCGA-DU-6396	TCGA-VV-A86M	TCGA-CS-4938	TCGA-P5-A731	TCGA-DB-A4XF	TCGA-S9-A6TS	TCGA-QH-A6XA	TCGA-TQ-A7RM	TCGA-DU-7008	TCGA-P5-A5EU	TCGA-HT-7476	TCGA-FG-A711	TCGA-S9-A7QX	TCGA-VM-A8CH	TCGA-DB-A4XD	TCGA-HT-A74J	TCGA-E1-A7YV	TCGA-HT-7477	
Amplification Peak 11	12p13.32	chr12:3862590-4010316(probes 200455:200476)        	chr12:3910007-4000793(probes 200463:200475)        	chr12:1-11995243(probes 200141:201403)             	2.3823e-11	 2.7988e-10		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	1	0	1	2	0	1	0	2	0	1	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	2	0	0	0	2	0	0	2	1	0	2	0	0	2	0	0	2	0	0	0	1	1	0	1	0	0	0	2	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	1	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	
Amplification Peak 12	12p13.31	chr12:8474547-10226981(probes 200998:201192)      	chr12:9244480-9590930(probes 201107:201108)        	chr12:1-11995243(probes 200141:201403)             	5.1518e-07	   0.011331		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	1	0	1	2	0	1	0	2	0	1	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	2	0	0	0	2	0	0	2	1	0	0	0	0	1	0	0	2	0	0	0	1	1	0	1	0	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	
Amplification Peak 13	12p12.1 	chr12:19224645-26875903(probes 202268:203219)    	chr12:24242339-24282176(probes 202914:202918)    	chr12:20992408-25474553(probes 202493:203048)    	0.063121	   0.063121		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	1	0	0	2	0	1	0	2	0	2	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
Amplification Peak 14	12q14.1 	chr12:57681691-57757189(probes 206176:206185)    	chr12:57690318-57750881(probes 206177:206184)    	chr12:57433623-59161358(probes 206138:206402)    	5.7894e-11	 5.7894e-11		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	
Amplification Peak 15	12q24.31	chr12:113430907-133275309(probes 212435:214579)	chr12:122852834-123189404(probes 213503:213540)	chr12:122852834-123215642(probes 213503:213543)	0.1486	     0.1486		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Amplification Peak 16	13q33.3 	chr13:107953396-110958534(probes 224084:224420)	chr13:107962021-108071588(probes 224085:224096)	chr13:106348575-110973573(probes 223898:224422)	0.0029874	  0.0029874		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	
Amplification Peak 17	15q26.3 	chr15:98333230-99249595(probes 242170:242272)    	chr15:98867884-99148671(probes 242232:242260)    	chr15:98333396-99269402(probes 242171:242274)    	0.036033	   0.036033		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	
Amplification Peak 18	17q25.3 	chr17:59567813-83257441(probes 255366:257891)    	chr17:81510994-81607097(probes 257730:257740)    	chr17:81510994-81623959(probes 257730:257743)    	0.21726	    0.21726		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	
Amplification Peak 19	19p13.3 	chr19:706033-835865(probes 265625:265633)            	chr19:715431-826419(probes 265626:265632)            	chr19:556633-979695(probes 265609:265648)            	0.015172	   0.015172		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
Deletion Peak  1	1q44    	chr1:234961006-248956422(probes 21668:23150)    	chr1:246929224-247459592(probes 23062:23122)    	chr1:244691520-248956422(probes 22816:23150)    	0.034051	   0.034051		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	
Deletion Peak  2	2p25.3  	chr2:1-3382243(probes 23151:23470)                   	chr2:766428-965805(probes 23184:23202)                	chr2:1-2581139(probes 23151:23372)                   	0.077767	     0.0736		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	
Deletion Peak  3	2q37.1  	chr2:232681595-232871422(probes 47436:47460)    	chr2:232690973-232790794(probes 47437:47447)    	chr2:226832258-242193529(probes 46752:48450)    	1.6626e-16	 0.00039548		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	
Deletion Peak  4	2q37.3  	chr2:239379898-242193529(probes 48207:48450)    	chr2:241460951-242193529(probes 48439:48450)    	chr2:226832258-242193529(probes 46752:48450)    	1.8168e-21	 9.0742e-15		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	
