Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-DB-5273	TCGA-DU-A5TP	TCGA-DH-A66G	TCGA-FG-5965	TCGA-HT-7483	TCGA-CS-6290	TCGA-DU-5851	TCGA-HT-7609	TCGA-E1-5302	TCGA-P5-A735	TCGA-FG-7636	TCGA-HT-7601	TCGA-FG-A4MX	TCGA-E1-A7YU	TCGA-S9-A6TZ	TCGA-HT-7472	TCGA-DH-5142	TCGA-HT-8111	TCGA-HW-8320	TCGA-QH-A870	TCGA-DU-6399	
Deletion Peak 6	19q13.43	chr19:54940787-57124931(probes 255813:256030)	chr19:54950535-56859293(probes 255814:256001)	chr19:41672829-58617616(probes 254578:256166)	1.6239e-19	 8.6482e-19		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Deletion Peak 7	22q13.31	chr22:42719124-50818468(probes 268085:268733)	chr22:43026863-50818468(probes 268121:268733)	chr22:42829187-50818468(probes 268100:268733)	0.0015267	  0.0016009		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	
Amplification Peak  1 - CN values	1p13.3  	chr1:108347612-108489486(probes 10582:10596)    	chr1:108357562-108479494(probes 10583:10595)    	chr1:108357562-108509471(probes 10583:10598)    	0.10445	 0.10445		Actual Copy Change Given	0.00069327	0.010424	0.028763	0.0011188	3.6108	0.0017667	-0.068423	0.008892	0.037641	0.0031686	-0.005261	0.0054139	0.012101	0.0040979	0.0084743	0.027497	0.012795	0.0033299	-0.0047079	0.0016642	0.013632	
Amplification Peak  2 - CN values	2p16.3  	chr2:50626536-51143132(probes 26956:26975)        	chr2:50636525-51133336(probes 26957:26974)        	chr2:50636525-51162724(probes 26957:26977)        	0.17461	 0.17461		Actual Copy Change Given	0.0084743	-0.0040162	0.033356	0.0090407	0.0016642	0.00013863	0.0092804	0	0.070099	-0.0018238	0.0083351	0.0034687	0	0.00027728	-0.0036011	0.030591	1.7932	0.0011093	0.0024969	0.015727	0.038771	
Amplification Peak  3 - CN values	2p12    	chr2:74918260-75009641(probes 29373:29383)        	chr2:74927810-74999662(probes 29374:29382)        	chr2:74927810-75029600(probes 29374:29385)        	0.10445	 0.10445		Actual Copy Change Given	0.0030522	-0.0040162	0.030618	0.0090407	0.0016642	0.00013863	0.0092804	0	0.060365	-0.0018238	0.0083351	0.0034687	0	0.00027728	-0.0036011	-0.0018014	3.6569	0.0011093	0.0024969	0.015727	-0.00013862	
Amplification Peak  4 - CN values	3p12.1  	chr3:83559601-83836673(probes 54344:54371)        	chr3:83569595-83826892(probes 54345:54370)        	chr3:83569595-83856236(probes 54345:54373)        	0.23511	 0.23511		Actual Copy Change Given	-0.0019348	1.4613	-0.014228	0.0012575	0.00055459	0.00069327	0.0020512	-0.0074978	-0.029311	0.0067819	-0.015604	-0.022332	-0.0087716	-0.0055375	0.013632	0.0019418	0.0098669	-0.0083005	-0.0018014	0.0051359	0.054945	
Amplification Peak  5 - CN values	9q34.3  	chr9:137315747-138394717(probes 159803:159878)  	chr9:137325417-138394717(probes 159804:159878)  	chr9:137156787-138394717(probes 159789:159878)  	0.10445	 0.10445		Actual Copy Change Given	0.0069435	0.020623	0.015727	-0.0069101	0.65811	0.37626	0.00080268	0.012376	0.22792	0.0046965	-0.018822	0.63865	-0.0087113	0.053094	-0.045275	0.011756	0.38122	0.27442	-0.035312	-0.015054	0.064082	
Amplification Peak  6 - CN values	12p13.33	chr12:1046701-1812626(probes 186815:186892)        	chr12:1056561-1802663(probes 186816:186891)        	chr12:1-8720322(probes 186787:187597)               	0.10445	 0.10708		Actual Copy Change Given	2.121	0.81864	0.19117	0.49011	0.080601	0.029888	-0.0052902	0.27774	0.04741	-0.0051451	0.017544	0.017963	0.014892	0.71603	0.10205	0.027919	0.017247	0.056513	0.003191	0.020063	0.027076	
Amplification Peak  7 - CN values	12p13.32	chr12:3902410-4006296(probes 187107:187117)        	chr12:3912358-3996304(probes 187108:187116)        	chr12:1-8720322(probes 186787:187597)               	0.10445	 0.10445		Actual Copy Change Given	0.99758	0.81864	0.19117	0.49011	0.080601	0.1646	-0.0052902	0.27774	0.04741	-0.0051451	0.017544	0.017963	0.014892	0.71603	0.10205	0.027919	0.017247	0.056513	0.003191	0.020063	1.3408	
Amplification Peak  8 - CN values	12q12   	chr12:42805562-43355363(probes 190525:190580)    	chr12:42815500-43345445(probes 190526:190579)    	chr12:42815500-43375198(probes 190526:190582)    	0.10445	 0.10445		Actual Copy Change Given	-0.082402	-0.20074	-0.088904	-0.0082911	-0.0036457	-0.12262	-0.0052902	-0.0060904	-0.22994	-0.0051451	-0.03054	-0.0031859	0.014892	0.0027745	0.011958	-0.10513	3.6569	0.0037465	0.003191	0.016425	-0.059404	
Amplification Peak  9 - CN values	12q24.33	chr12:132103028-132136786(probes 199599:199603)	chr12:132111797-132126980(probes 199600:199602)	chr12:132111797-132156397(probes 199600:199605)	0.21121	 0.21121		Actual Copy Change Given	0.0033299	0.24093	-0.10145	-0.37414	0.66872	-0.014228	-0.013431	-0.0060904	-0.25019	-0.0051451	-0.051181	0.010842	-0.0031826	0.0027745	-0.021098	-0.093006	-0.14857	0.0037465	0.003191	0.64763	0.038347	
Amplification Peak 10 - CN values	22q12.3 	chr22:36206205-36329958(probes 267428:267441)    	chr22:36214526-36320268(probes 267429:267440)    	chr22:36214526-36349338(probes 267429:267443)    	0.10445	 0.10445		Actual Copy Change Given	0.0076392	-0.18697	-0.082569	0.012107	-0.010599	-0.10118	0.0035783	0.061406	-0.0501	2.6264	-0.040616	0.028903	0.013494	-0.72758	-0.048342	0.067232	-0.04726	0.001803	-0.0091286	0.0037465	-0.13704	
Deletion Peak 1 - CN values	9p21.3  	chr9:21859688-22020043(probes 151173:151188)  	chr9:21948885-22020043(probes 151182:151188)  	chr9:21401195-22674006(probes 151125:151256)  	0.0016009	  0.0016009		Actual Copy Change Given	0.000783	-0.011611	0.015727	-1.2929	-0.0060904	-0.0025094	-0.38192	-0.023292	0.015587	0.0046965	-0.51815	-0.018628	-0.93688	-0.074544	-0.0027707	-0.020275	0	-0.25515	-0.41091	-0.10788	-0.48081	
Deletion Peak 2 - CN values	11p15.4 	chr11:1-8621472(probes 173312:174118)           	chr11:2113912-4380280(probes 173481:173691)    	chr11:1-4400244(probes 173312:173693)           	0.09407	    0.09407		Actual Copy Change Given	-0.036432	-0.0033243	-0.50391	-0.67811	0.0079175	-0.12875	-0.38987	0.013353	-0.75988	-0.35626	0.018663	-0.63925	-0.0059489	-0.65305	-0.012607	0.034818	-0.7353	-0.32577	-0.023681	-0.069867	-0.0015243	
Deletion Peak 3 - CN values	13q14.3 	chr13:34635567-62677257(probes 201227:204109)	chr13:51072650-51470472(probes 202899:202942)	chr13:49818894-53371722(probes 202771:203139)	0.045001	   0.045001		Actual Copy Change Given	-0.11469	-0.55967	-0.10906	-0.092997	-0.76101	-0.1508	-0.00099941	-0.04983	-0.26997	-0.11537	-0.044822	-0.090361	-0.37882	-0.0070576	0.010703	0.012097	-0.73134	-0.42637	-0.013484	-0.0018014	-0.40628	
Deletion Peak 4 - CN values	19q13.12	chr19:37261815-40199878(probes 254123:254433)	chr19:37301074-37629065(probes 254127:254164)	chr19:37340333-37361048(probes 254131:254132)	0.06469	    0.11485		Actual Copy Change Given	0.015308	0.19162	-0.32841	-0.0063574	-0.027354	0.011958	-0.42595	0.0080567	-0.021098	-0.0092889	-0.56166	0.0351	0.0013901	-0.69902	-0.040888	-0.0027707	-0.7324	-0.034086	-0.0040162	-0.010232	-0.022245	
Deletion Peak 5 - CN values	19q13.31	chr19:41978040-45597235(probes 254611:254909)	chr19:43459714-44248735(probes 254690:254769)	chr19:41672829-58617616(probes 254578:256166)	6.5125e-05	  0.0088602		Actual Copy Change Given	0.015308	-0.74603	-0.43456	-0.67169	-0.027354	0.011958	-0.42595	0.0080567	-0.021098	-0.0092889	-0.56166	-0.59419	0.0013901	-0.63793	-0.040888	-0.75478	-0.7196	-0.45565	-0.0040162	-0.72199	-0.45629	
Deletion Peak 6 - CN values	19q13.43	chr19:54940787-57124931(probes 255813:256030)	chr19:54950535-56859293(probes 255814:256001)	chr19:41672829-58617616(probes 254578:256166)	1.6239e-19	 8.6482e-19		Actual Copy Change Given	-0.64818	-0.74603	-0.43456	-0.67169	-0.76055	-0.60206	-0.44773	-0.8657	-0.79294	-0.88734	-0.56166	-0.59419	-0.92517	-0.66289	-0.56157	-0.80716	-0.75089	-0.47353	-0.53338	-0.72199	-0.45629	
Deletion Peak 7 - CN values	22q13.31	chr22:42719124-50818468(probes 268085:268733)	chr22:43026863-50818468(probes 268121:268733)	chr22:42829187-50818468(probes 268100:268733)	0.0015267	  0.0016009		Actual Copy Change Given	-0.65631	-0.80757	-0.082569	0.012107	-0.010599	-0.10118	0.0035783	0.064082	-0.0501	-0.015764	-0.040616	0.028903	-0.15541	-0.67619	-0.048342	0.075847	-0.04726	0.001803	-0.0091286	-0.09261	-0.13704	
